ID,profession,age,gender,highestDegree,maritalStatus,noOfKids,creditRisk,otherMembership,pastStays1y,blogger,articles,amexCard,purposeTravel,staySpend,loyaltyClass 
1182,Private Sector,58,Female,MBA,Single,0,1.94,Discovery,28,No,17,No,Leisure Travel,4028.805222,Bronze
1183,Public Sector,52,Female,Bachelors Degree,Divorced,3,3.01,IHG,15,No,20,Yes,Leisure Travel,0,Bronze
1184,Self-Employed,,,Bachelors Degree,Married,,3.1,Discovery,13,No,16,No,Medical Tourism,2491.16353,Silver
1185,Public Sector,,Female,Associate Degree,Married,1,3.43,None,38,No,3,No,Medical Tourism,3.95320128,Bronze
1186,Business,30,,Associate Degree,Single,,2.58,Marriott,39,No,17,Yes,Business,0,Bronze
1187,Public Sector,,,Bachelors Degree,Married,,3.23,IHG,,No,6,No,Business,1374.748979,Silver
1188,Public Sector,48,Male,MBA,Divorced,,2.49,None,15,Yes,0,Yes,Medical Tourism,0,Gold
1189,Private Sector,30,Female,High School Equivalent,Married,1,2.94,Marriott,2,Yes,0,Yes,Leisure Travel,0,Silver
1190,Private Sector,,Female,Bachelors Degree,Widowed,0,3.2,Hilton,15,No,4,Yes,Medical Tourism,0,Bronze
1191,Private Sector,29,Male,Bachelors Degree,Married,,3.33,None,19,Yes,0,No,Business,0,Silver
1192,Private Sector,,Female,Bachelors Degree,Married,,3.13,Expedia,23,Yes,0,Yes,Medical Tourism,0,Silver
1193,Public Sector,28,,MBA,Married,3,4,Marriott,20,No,4,No,Business,0,Silver
1194,,,Female,High School Equivalent,Divorced,3,2.79,Marriott,44,No,18,No,Business,0,Silver
1195,Private Sector,46,Male,Professional,Married,,3.44,IHG,10,No,16,Yes,Leisure Travel,8441.709985,Silver
1196,Public Sector,,,Associate Degree,Widowed,1,3.21,Marriott,33,No,5,No,Medical Tourism,18444.75484,Silver
1197,Self-Employed,51,Female,High School Equivalent,Married,,2.67,None,32,No,13,No,Medical Tourism,1452.547477,Bronze
1198,Public Sector,59,Female,Bachelors Degree,Married,,3.49,Marriott,11,No,5,Yes,Medical Tourism,7610.073034,Bronze
1199,Business,,,High School Equivalent,Married,,2.69,Marriott,44,Yes,0,Yes,Leisure Travel,0.002542226,Silver
1200,Business,56,Female,MBA,Single,,2.07,None,44,No,3,No,Medical Tourism,0,Bronze
1201,Private Sector,,,Associate Degree,Divorced,,3.5,None,12,Yes,0,No,Leisure Travel,1.428651472,Silver
1202,Self-Employed,23,Female,High School Equivalent,Single,,2.41,Discovery,41,No,12,Yes,Business,8248.904264,Silver
1203,Private Sector,35,,Associate Degree,Divorced,0,3.19,None,0,Yes,0,Yes,Medical Tourism,69.03813579,Silver
1204,Private Sector,25,Female,Associate Degree,Widowed,2,4,IHG,39,No,5,Yes,Medical Tourism,11871.74714,Silver
1205,Business,,,High School Equivalent,Single,0,2.8,IHG,31,No,18,Yes,Business,0,Bronze
1206,Business,57,Male,MBA,Divorced,1,3.05,Discovery,,Yes,0,No,Medical Tourism,6.695143785,Silver
1207,Private Sector,,Male,Professional,Single,0,4,None,49,No,4,No,Business,15.06282748,Silver
1208,Private Sector,,Female,High School Equivalent,Married,,2.99,Marriott,0,Yes,0,Yes,Leisure Travel,0,Silver
1209,Business,23,,Bachelors Degree,Widowed,3,3.23,Discovery,,No,1,No,Leisure Travel,3.24434E-06,Bronze
1210,Private Sector,20,,High School Equivalent,Single,0,2.64,Marriott,44,Yes,0,Yes,Medical Tourism,3126.919233,Bronze
1211,,29,Female,Associate Degree,Married,,3.39,Marriott,21,No,17,No,Leisure Travel,0,Silver
1212,Business,,Female,High School Equivalent,Married,,2.12,Discovery,8,No,4,No,Leisure Travel,0,Bronze
1213,,,,Bachelors Degree,Divorced,,3.4,Marriott,17,Yes,0,Yes,Medical Tourism,0,Silver
1214,Public Sector,38,Male,Associate Degree,Divorced,,3.4,IHG,32,Yes,0,No,Medical Tourism,933.935478,Silver
1215,Business,,Female,MBA,Divorced,,2.83,None,1,No,13,No,Medical Tourism,15653.25892,Bronze
1216,Self-Employed,29,Female,High School Equivalent,Married,,3.3,Marriott,,No,12,Yes,Leisure Travel,0,Silver
1217,Business,,,MBA,Divorced,,3.98,Marriott,35,Yes,0,No,Medical Tourism,0,Silver
1218,Public Sector,,Female,High School Equivalent,Single,,3.72,Expedia,47,No,10,Yes,Medical Tourism,17.9610242,Bronze
1219,Private Sector,22,,Associate Degree,Single,0,2.16,Marriott,16,No,3,Yes,Medical Tourism,2043.898952,Bronze
1220,Public Sector,18,Female,Bachelors Degree,Married,,3.14,IHG,9,Yes,0,No,Medical Tourism,0,Silver
1221,Private Sector,48,Male,High School Equivalent,Married,,3.16,IHG,22,Yes,0,Yes,Medical Tourism,0,Silver
1222,Business,37,Male,Doctorate,Divorced,0,2.42,IHG,4,No,16,Yes,Leisure Travel,430.4589344,Silver
1223,Private Sector,,Female,High School Equivalent,Single,0,4,IHG,11,Yes,0,No,Business,362.2848544,Silver
1224,,,,High School Equivalent,Married,,3.07,Jumeirah,25,Yes,0,No,Business,0,Silver
1225,Private Sector,45,,Bachelors Degree,Single,,2.58,Hilton,41,No,14,No,Business,268.0856341,Silver
1226,Private Sector,,Female,High School Equivalent,Divorced,3,3.01,Marriott,24,Yes,0,Yes,Business,0,Silver
1227,Business,50,,High School Equivalent,Single,,2.07,IHG,1,No,1,Yes,Business,1675.856542,Bronze
1228,Private Sector,25,Male,MBA,Single,,3.86,None,30,No,17,No,Medical Tourism,0,Silver
1229,Self-Employed,,Female,Bachelors Degree,Divorced,1,3.05,Marriott,15,No,11,Yes,Medical Tourism,0,Silver
1230,Private Sector,,,High School Equivalent,Single,0,3.92,IHG,9,No,18,Yes,Leisure Travel,39370.54323,Silver
1231,Private Sector,55,Female,Associate Degree,Married,,3,IHG,45,No,15,No,Business,0,Silver
1232,Self-Employed,22,Female,High School Equivalent,Single,0,3.1,Hilton,20,No,2,Yes,Medical Tourism,0,Bronze
1233,Public Sector,47,Female,Associate Degree,Married,1,2.44,None,5,No,4,No,Business,0,Silver
1234,Public Sector,,,Technical/Occupational Certificate,Widowed,3,1.45,Marriott,21,No,9,Yes,Business,92.47057898,Silver
1235,Private Sector,,Female,Bachelors Degree,Married,,2.74,Marriott,,No,19,No,Medical Tourism,10.22298223,Silver
1236,Private Sector,,,High School Equivalent,Married,,3.92,IHG,44,No,8,No,Leisure Travel,3470.052251,Silver
1237,Public Sector,,Female,High School Equivalent,Widowed,0,4,Marriott,44,No,17,No,Leisure Travel,0,Silver
1238,Self-Employed,,,Masters Degree,Divorced,,2.52,IHG,25,No,13,No,Business,0,Bronze
1239,Self-Employed,,Female,Bachelors Degree,Married,,2.7,Marriott,48,No,17,No,Business,0,Silver
1240,Business,20,,Bachelors Degree,Married,1,2.8,Marriott,31,No,17,No,Medical Tourism,0,Silver
1241,,53,,High School Equivalent,Single,,3.16,Hilton,49,Yes,0,Yes,Medical Tourism,4333.216712,Silver
1242,Business,,Female,MBA,Divorced,0,3.84,IHG,36,No,13,No,Leisure Travel,0,Silver
1243,Public Sector,,Male,Bachelors Degree,Married,0,2.53,Jumeirah,23,No,16,Yes,Medical Tourism,39.41155913,Bronze
1244,Private Sector,60,,High School Equivalent,Married,,3.03,IHG,,No,13,No,Business,0.283224918,Bronze
1245,Public Sector,,Female,High School Equivalent,Single,,2.97,Marriott,6,No,16,No,Business,0,Bronze
1246,Business,29,Female,Bachelors Degree,Married,,3.18,None,,Yes,0,Yes,Leisure Travel,0,Bronze
1247,Business,51,Female,Masters Degree,Married,0,3.02,IHG,32,No,17,Yes,Leisure Travel,72.62683843,Silver
1248,Private Sector,38,Male,High School Equivalent,Married,,3.41,IHG,,No,19,Yes,Medical Tourism,110.1349316,Silver
1249,Business,,,High School Equivalent,Married,,2.67,None,21,Yes,0,No,Leisure Travel,1994.874543,Bronze
1250,Self-Employed,36,Female,MBA,Single,,2.75,Expedia,,No,3,Yes,Medical Tourism,10328.38624,Silver
1251,Self-Employed,,Female,Bachelors Degree,Married,0,3.23,None,21,No,16,No,Leisure Travel,0.012625948,Bronze
1252,Business,,,High School Equivalent,Single,0,3.44,Marriott,14,No,17,No,Medical Tourism,8.501839985,Bronze
1253,Public Sector,42,Female,High School Equivalent,Married,0,3.09,None,17,No,12,No,Business,0,Bronze
1254,Private Sector,,Male,High School Equivalent,Divorced,,2.92,None,47,No,11,Yes,Medical Tourism,0,Bronze
1255,Business,24,,Bachelors Degree,Widowed,0,2.82,IHG,19,Yes,0,Yes,Business,0.798839598,Silver
1256,Business,49,Female,High School Equivalent,Married,,1.88,IHG,26,No,13,Yes,Medical Tourism,0,Silver
1257,Private Sector,,,Bachelors Degree,Married,,2.49,None,38,Yes,0,No,Leisure Travel,0,Silver
1258,Private Sector,33,Female,High School Equivalent,Divorced,4,2.97,Expedia,38,No,19,No,Leisure Travel,354.5179936,Bronze
1259,Private Sector,49,,High School Equivalent,Married,,3.1,IHG,13,No,10,No,Medical Tourism,102.1523694,Silver
1260,Self-Employed,,Female,Bachelors Degree,Single,0,2.83,None,48,Yes,0,No,Leisure Travel,6578.545599,Silver
1261,Private Sector,,Female,High School Equivalent,Married,1,2.45,IHG,,No,12,No,Medical Tourism,0,Silver
1262,Self-Employed,27,Female,Associate Degree,Divorced,,2.83,None,10,No,18,Yes,Business,95.45435989,Bronze
1263,Private Sector,29,Male,MBA,Single,0,2.96,Marriott,48,No,10,Yes,Leisure Travel,36009.8341,Silver
1264,Private Sector,,Female,Masters Degree,Married,1,2.95,Marriott,34,No,4,No,Business,0,Silver
1265,Business,39,Male,MBA,Single,,2.2,IHG,4,No,14,Yes,Business,0,Bronze
1266,Public Sector,22,Female,High School Equivalent,Married,1,2.78,IHG,45,No,2,Yes,Business,640.4341865,Silver
1267,Business,35,Male,High School Equivalent,Married,,3.01,IHG,36,Yes,0,Yes,Medical Tourism,0,Gold
1268,Public Sector,52,Male,Bachelors Degree,Married,,2.51,IHG,20,No,7,No,Medical Tourism,719.2431802,Bronze
1269,Private Sector,,,High School Equivalent,Single,0,2.61,Expedia,6,No,16,Yes,Business,0,Bronze
1270,Business,,Male,Associate Degree,Divorced,1,2.77,IHG,41,No,10,No,Business,10624.23751,Bronze
1271,Public Sector,,,Doctorate,Divorced,1,2.64,IHG,,No,10,Yes,Medical Tourism,0.161148215,Silver
1272,,,Male,MBA,Single,0,3.37,Discovery,7,No,5,Yes,Business,1.41608612,Bronze
1273,Business,27,Female,Technical/Occupational Certificate,Divorced,1,2.58,IHG,20,No,7,No,Medical Tourism,1.188028218,Silver
1274,Business,50,Male,High School Equivalent,Married,,2.64,IHG,5,No,14,No,Business,1.37474072,Silver
1275,Public Sector,20,,Associate Degree,Divorced,,3.15,Marriott,38,No,4,Yes,Medical Tourism,0,Bronze
1276,Business,59,Female,High School Equivalent,Divorced,,2.74,Marriott,20,Yes,0,Yes,Business,0,Silver
1277,Private Sector,18,Female,Bachelors Degree,Single,0,2.64,Marriott,39,No,17,No,Business,6144.331328,Silver
1278,Public Sector,35,Female,High School Equivalent,Married,,2.84,Marriott,10,No,19,No,Leisure Travel,49.34238743,Silver
1279,Public Sector,,Female,Associate Degree,Married,,2.43,Marriott,37,No,16,No,Business,1658.630432,Silver
1280,Business,51,,High School Equivalent,Widowed,1,3.68,Expedia,,No,8,Yes,Medical Tourism,10129.47027,Gold
1281,Business,,Male,MBA,Widowed,,2.96,Discovery,13,Yes,0,No,Medical Tourism,0,Bronze
1282,Business,,Female,High School Equivalent,Single,,3.37,IHG,,No,6,No,Leisure Travel,1.793932748,Bronze
1283,Business,,,MBA,Married,1,3.74,Marriott,,Yes,0,Yes,Leisure Travel,14477.65688,Silver
1284,Business,53,Male,Masters Degree,Married,0,3.04,IHG,16,No,16,No,Leisure Travel,18525.59387,Silver
1285,Private Sector,,Female,High School Equivalent,Married,4,2.92,IHG,,No,2,Yes,Leisure Travel,7291.961804,Silver
1286,Self-Employed,51,Male,MBA,Widowed,2,3.07,Marriott,33,No,9,No,Business,468.9698813,Silver
1287,Private Sector,,,MBA,Single,0,2.78,Expedia,12,No,20,Yes,Medical Tourism,0,Bronze
1288,Public Sector,,Female,High School Equivalent,Single,0,2.73,Marriott,,Yes,0,No,Medical Tourism,0,Bronze
1289,Private Sector,32,,High School Equivalent,Widowed,0,2.56,Discovery,34,No,20,No,Business,0,Bronze
1290,Private Sector,,Female,Bachelors Degree,Married,1,2.67,Marriott,33,No,9,Yes,Medical Tourism,710.6569927,Silver
1291,Business,,,Associate Degree,Widowed,0,2.49,IHG,,No,5,No,Medical Tourism,0,Bronze
1292,Public Sector,,Male,MBA,Single,,2.09,Marriott,45,No,10,Yes,Medical Tourism,0,Bronze
1293,Private Sector,,Male,Bachelors Degree,Married,4,3.32,IHG,11,No,10,Yes,Business,0,Bronze
1294,Business,58,Male,High School Equivalent,Married,,2.39,IHG,13,No,16,No,Business,0.00019904,Silver
1295,Private Sector,20,,Associate Degree,Single,0,3.06,IHG,,No,15,No,Leisure Travel,0,Bronze
1296,,26,Male,High School Equivalent,Single,,3.1,IHG,4,No,16,No,Leisure Travel,0,Bronze
1297,Business,43,Female,Doctorate,Widowed,1,2.59,None,17,No,19,No,Business,0.000708048,Gold
1298,Public Sector,55,Female,Associate Degree,Single,0,1.96,Marriott,,No,14,Yes,Business,7.15283E-05,Bronze
1299,Private Sector,,,Associate Degree,Widowed,,3.32,Expedia,41,No,7,No,Leisure Travel,0.309718912,Bronze
1300,Private Sector,40,Male,Bachelors Degree,Single,0,2.82,Discovery,,No,19,No,Business,0,Bronze
1301,Private Sector,,Female,High School Equivalent,Single,0,3.28,IHG,12,No,17,No,Business,0,Silver
1302,Self-Employed,,Male,High School Equivalent,Married,3,2.89,None,26,Yes,0,No,Business,48.16679648,Bronze
1303,Private Sector,20,Male,Associate Degree,Divorced,,2.39,Marriott,16,Yes,0,Yes,Business,1.588894579,Silver
1304,Business,29,,High School Equivalent,Single,,2.66,None,35,No,14,Yes,Business,0.002552463,Bronze
1305,Self-Employed,36,Female,Bachelors Degree,Divorced,,2.96,Discovery,45,Yes,0,No,Business,0,Silver
1306,Private Sector,,Female,High School Equivalent,Divorced,0,2.37,Discovery,10,No,12,No,Leisure Travel,0,Bronze
1307,Private Sector,30,Female,Masters Degree,Married,1,3.6,IHG,22,No,3,Yes,Medical Tourism,9154.709377,Silver
1308,Private Sector,,Female,Associate Degree,Widowed,0,2.75,Marriott,,Yes,0,Yes,Leisure Travel,2.618496549,Silver
1309,Private Sector,19,Female,High School Equivalent,Married,1,3.57,IHG,45,No,14,No,Business,0,Bronze
1310,Private Sector,,Female,Professional,Married,2,3.28,Discovery,0,Yes,0,Yes,Leisure Travel,0,Silver
1311,Private Sector,,Female,High School Equivalent,Single,,1.79,None,,Yes,0,Yes,Business,0,Silver
1312,Business,49,,Bachelors Degree,Single,0,3.49,Discovery,4,No,17,No,Business,79.90004331,Bronze
1313,Business,48,Female,Associate Degree,Widowed,1,3.25,Marriott,43,No,14,Yes,Leisure Travel,0,Bronze
1314,Business,41,Male,High School Equivalent,Widowed,,2.69,Marriott,24,No,3,No,Leisure Travel,0,Bronze
1315,Public Sector,58,Male,High School Equivalent,Widowed,3,3.92,IHG,,No,17,Yes,Leisure Travel,3900.775935,Silver
1316,Private Sector,,Male,High School Equivalent,Single,0,2.15,Marriott,21,No,17,Yes,Medical Tourism,0,Silver
1317,Self-Employed,,Female,High School Equivalent,Single,0,3.75,Expedia,9,Yes,0,Yes,Leisure Travel,196.6818132,Silver
1318,Private Sector,26,Female,High School Equivalent,Married,1,2.32,None,22,No,9,Yes,Business,0,Silver
1319,Self-Employed,,,Associate Degree,Married,,3.1,IHG,23,No,2,Yes,Business,13631.94767,Bronze
1320,Business,,Male,High School Equivalent,Divorced,,2.76,IHG,14,Yes,0,Yes,Leisure Travel,0,Bronze
1321,Private Sector,43,Male,Bachelors Degree,Single,,3.16,Hilton,34,Yes,0,Yes,Medical Tourism,4250.659017,Silver
1322,Private Sector,,Female,Bachelors Degree,Married,,2.75,Marriott,25,No,19,No,Medical Tourism,12543.7061,Silver
1323,Private Sector,,,Professional,Widowed,,2.81,IHG,46,Yes,0,No,Business,0,Silver
1324,Business,,Female,High School Equivalent,Single,0,3.82,IHG,,Yes,0,No,Medical Tourism,0.371844215,Silver
1325,Private Sector,52,Female,High School Equivalent,Single,,2.63,IHG,39,Yes,0,Yes,Leisure Travel,0,Silver
1326,Private Sector,39,,Professional,Divorced,,2.91,None,32,No,15,Yes,Business,3830.806553,Silver
1327,Private Sector,,,Masters Degree,Divorced,,2.86,Marriott,43,Yes,0,Yes,Business,7.416932707,Silver
1328,,,Male,Bachelors Degree,Married,,2.92,IHG,28,Yes,0,Yes,Medical Tourism,126.9374139,Silver
1329,Private Sector,41,,MBA,Single,,2.22,None,11,Yes,0,No,Medical Tourism,4.197E-05,Bronze
1330,Business,,Female,Doctorate,Single,,2.82,Discovery,32,No,12,No,Medical Tourism,0,Silver
1331,Business,,Female,High School Equivalent,Single,,2.17,Jumeirah,0,No,20,No,Leisure Travel,0.004250437,Bronze
1332,Business,,Male,Bachelors Degree,Divorced,2,3.12,Jumeirah,24,Yes,0,No,Medical Tourism,0.000996743,Silver
1333,Public Sector,18,,High School Equivalent,Divorced,,3.23,Discovery,25,Yes,0,Yes,Medical Tourism,1429.808344,Silver
1334,Business,47,Female,Associate Degree,Divorced,1,2.23,IHG,,Yes,0,Yes,Medical Tourism,66.13822272,Silver
1335,Business,26,Male,Associate Degree,Divorced,1,2.55,IHG,44,Yes,0,Yes,Medical Tourism,0,Bronze
1336,Business,,,MBA,Single,0,3.45,IHG,9,No,20,Yes,Medical Tourism,0,Silver
1337,Private Sector,,,High School Equivalent,Single,,3.47,Discovery,17,Yes,0,No,Medical Tourism,1098.543422,Silver
1338,Private Sector,30,Male,MBA,Married,1,3.32,Discovery,17,No,6,Yes,Leisure Travel,0,Bronze
1339,Business,40,Male,High School Equivalent,Single,,3.19,IHG,1,Yes,0,Yes,Business,0,Bronze
1340,Private Sector,,Male,Bachelors Degree,Married,,3.17,Marriott,10,Yes,0,Yes,Leisure Travel,0,Silver
1341,Business,,Male,High School Equivalent,Single,0,2.69,Marriott,31,Yes,0,No,Leisure Travel,0,Silver
1342,Public Sector,20,,Associate Degree,Married,1,3.33,Hilton,18,No,16,No,Business,0,Silver
1343,Business,,Female,MBA,Married,1,3.7,Expedia,28,Yes,0,Yes,Medical Tourism,2625.975025,Bronze
1344,Private Sector,52,,Associate Degree,Married,4,2.96,Discovery,1,No,11,No,Leisure Travel,0,Silver
1345,Business,34,Female,Professional,Single,,2.46,IHG,38,Yes,0,Yes,Business,0,Silver
1346,Public Sector,54,,High School Equivalent,Married,,2.86,IHG,29,No,20,Yes,Medical Tourism,336.9743807,Silver
1347,Private Sector,,,Professional,Divorced,1,2.68,Marriott,34,No,5,Yes,Leisure Travel,0,Silver
1348,Business,,Male,MBA,Married,,2.54,Marriott,14,Yes,0,No,Business,484.0632073,Silver
1349,Private Sector,,,MBA,Single,0,3.15,None,39,No,8,No,Business,0,Bronze
1350,Business,,Female,Bachelors Degree,Single,,2.04,None,32,Yes,0,Yes,Medical Tourism,3125.214779,Bronze
1351,Self-Employed,,Female,MBA,Widowed,1,2.79,IHG,24,No,20,Yes,Medical Tourism,17.36142994,Silver
1352,,,Male,Masters Degree,Widowed,3,2.65,Marriott,46,Yes,0,Yes,Medical Tourism,4817.357272,Bronze
1353,Private Sector,,Female,High School Equivalent,Single,0,2.78,Hilton,34,No,13,Yes,Leisure Travel,0,Silver
1354,Self-Employed,54,Male,Masters Degree,Married,1,2.09,Marriott,40,No,12,Yes,Leisure Travel,223.9796987,Silver
1355,Private Sector,28,Male,Masters Degree,Married,0,3.11,Expedia,14,Yes,0,No,Business,0,Silver
1356,Public Sector,59,Female,MBA,Married,1,2.05,IHG,27,No,20,No,Medical Tourism,0,Bronze
1357,Business,,Male,High School Equivalent,Widowed,,2.47,IHG,15,No,6,Yes,Leisure Travel,0,Silver
1358,Private Sector,,Female,Masters Degree,Married,1,2.27,IHG,23,No,6,Yes,Leisure Travel,0,Silver
1359,Public Sector,40,Male,Associate Degree,Single,0,2.81,IHG,,No,18,No,Medical Tourism,711.803778,Bronze
1360,Business,59,Female,High School Equivalent,Single,,2.16,IHG,14,No,8,Yes,Business,0,Bronze
1361,Public Sector,59,Female,High School Equivalent,Married,1,3.57,None,45,No,14,No,Medical Tourism,65917.75423,Silver
1362,Business,50,Female,MBA,Widowed,1,3.14,IHG,,No,18,Yes,Business,833.972872,Bronze
1363,Public Sector,57,Male,Bachelors Degree,Widowed,2,3,Discovery,36,Yes,0,Yes,Leisure Travel,0,Bronze
1364,Business,,,High School Equivalent,Married,,3.75,IHG,12,No,17,No,Leisure Travel,16528.12024,Bronze
1365,Public Sector,43,Female,Bachelors Degree,Single,0,3.36,Hilton,,Yes,0,Yes,Business,0,Bronze
1366,Public Sector,58,,High School Equivalent,Single,0,3.2,Discovery,4,No,4,No,Medical Tourism,0,Bronze
1367,Business,,Female,Professional,Married,,3.31,Discovery,30,No,14,No,Business,1321.232463,Bronze
1368,Private Sector,32,Female,Technical/Occupational Certificate,Married,1,2.3,IHG,41,No,11,Yes,Medical Tourism,0,Silver
1369,Private Sector,55,Male,Professional,Married,1,2.86,Marriott,18,No,16,Yes,Business,0,Bronze
1370,Business,,,Bachelors Degree,Single,0,2.62,Jumeirah,21,No,5,No,Medical Tourism,62.3696329,Silver
1371,Private Sector,,Female,High School Equivalent,Divorced,1,2.52,Marriott,44,No,8,Yes,Medical Tourism,7381.205654,Silver
1372,Public Sector,50,Female,Associate Degree,Married,0,3,Marriott,2,No,18,Yes,Leisure Travel,2098.299916,Silver
1373,Private Sector,,Female,MBA,Married,2,3.19,None,4,No,20,No,Medical Tourism,0,Gold
1374,Private Sector,31,Female,High School Equivalent,Married,1,3.45,Discovery,21,No,7,Yes,Leisure Travel,6.55428444,Silver
